,temp_1.0,temp_0.55,temp_0.1
0,5.0,5.0,5.0
1,4.75,4.75,4.75
2,1.9166666666666665,1.9166666666666665,1.75
3,3.1666666666666665,1.0,3.1666666666666665
4,3.416666666666667,3.416666666666667,3.416666666666667
5,4.3,4.166666666666667,4.166666666666667
6,3.75,3.75,3.75
7,2.625,4.166666666666667,4.166666666666667
8,1.2,4.1,1.2
9,4.833333333333334,4.833333333333334,4.833333333333334
10,4.75,4.75,4.75
11,4.916666666666666,4.916666666666666,4.125
12,5.0,5.0,5.0
13,4.833333333333334,4.833333333333334,4.833333333333334
14,4.083333333333333,4.083333333333333,4.083333333333333
15,4.25,4.25,4.25
16,4.9,4.9,4.9
17,4.916666666666666,4.916666666666666,4.916666666666666
18,4.0,4.0,4.0
19,1.85,1.25,1.35
20,3.3,2.75,2.75
21,3.9,3.9,2.583333333333333
22,1.0,2.6666666666666665,2.6666666666666665
23,4.75,4.75,4.75
24,4.285714285714286,2.25,4.285714285714286
25,4.142857142857142,1.95,4.142857142857142
26,4.916666666666666,4.916666666666666,4.666666666666666
27,3.25,3.25,3.25
28,4.333333333333333,1.625,4.333333333333333
29,2.666666666666667,1.2,1.75
30,2.0,1.0,1.0
31,2.9642857142857144,2.9642857142857144,2.9642857142857144
32,5.0,5.0,4.333333333333334
33,2.1,2.1,2.1
34,4.05,1.2,4.5
35,4.25,4.25,3.25
36,2.375,2.375,2.416666666666667
37,1.4166666666666665,1.4166666666666665,1.4166666666666665
38,4.0,4.0,4.0
39,1.5,1.5,1.3333333333333335
40,4.571428571428571,4.571428571428571,4.571428571428571
41,5.0,5.0,5.0
42,4.916666666666666,4.7,4.833333333333334
43,1.2,2.916666666666667,2.916666666666667
44,2.85,2.083333333333333,2.083333333333333
45,4.666666666666666,5.0,1.7
46,1.55,2.15,1.55
47,1.8333333333333333,1.8333333333333333,1.45
48,5.0,2.0,5.0
49,4.666666666666666,4.666666666666666,4.666666666666666
50,4.916666666666666,4.916666666666666,4.916666666666666
51,4.75,4.333333333333333,4.333333333333333
52,5.0,5.0,5.0
53,4.916666666666666,4.916666666666666,4.916666666666666
54,3.5,4.0,3.5
55,4.6,4.6,4.6
56,4.833333333333334,1.25,4.833333333333334
57,4.416666666666667,4.416666666666667,4.416666666666667
58,4.916666666666666,4.916666666666666,4.916666666666666
59,1.5833333333333335,3.9,3.9
