,DeepMind: Gemini 3 Pro - High Reasoning - 0.1 Temperature - Multiple Context (2025-11-19),DeepMind: Gemini 2.0 Flash - Single Context (2025-07-21),OpenAI: GPT 5 - Multiple Context - High Reasoning (2025-09-11),OpenAI: GPT 4.1 - Single Context (2025-07-21),DeepMind: Gemini 2.5 Pro - Multiple Context - Dynamic Thinking (2025-07-21),OpenAI: o3 Pro - Multiple Context - High Reasoning (2025-07-21),OpenAI: o3 Pro - Multiple Context - High Reasoning (2025-09-16),OpenAI: ChatGPT-4o - Multiple Context (2025-07-25),DeepMind: Gemini 3 Pro - High Reasoning - 1.0 Temperature - Multiple Context (2025-11-19),OpenAI: o4-mini - Multiple Context - Medium Reasoning (2025-07-14),Alibaba: Qwen 3 VL 235b a22b Thinking - Multiple Context (2025-11-20),OpenAI: GPT 5 - Multiple Context - High Reasoning (2025-09-15),OpenAI: o3 Pro - Single Context - High Reasoning (2025-07-21),OpenAI: o4-mini - Single Context - High Reasoning (2025-07-21),OpenAI: o3 w/ GPT-image-1 - Multiple Context - Med Reasoning (2025-07-14),OpenAI: GPT 5 - Multiple Context - Medium Reasoning (2025-09-16),OpenAI: ChatGPT-4o - Single Context (2025-07-25),OpenAI: o3 - Multiple Context - Medium Reasoning (2025-09-12),OpenAI: o3 - Multiple Context - Low Reasoning (2025-09-12),Anthropic: Claude Sonnet 4 - Multiple Context - Extended Thinking 4000t (2025-09-11),OpenAI: GPT 4.1 w/ GPT-Image-1 - Single Context (2025-07-21),OpenAI: GPT 5 - Multiple Context - Minimal Reasoning (2025-09-16),OpenAI: o3 w/ GPT-image-1 - Multiple Context - High Reasoning (2025-07-23),DeepMind: Gemini 2.0 Flash - Multiple Context (2025-07-21),OpenAI: GPT 4.1 - Multiple Context (2025-07-21),OpenAI: o3 - Multiple Context - High Reasoning (2025-07-21),OpenAI: o4-mini - Single Context - Medium Reasoning (2025-07-14),OpenAI: GPT 4.1 w/ GPT-image-1 - Multiple Context (2025-07-21),OpenAI: GPT 5 - Multiple Context - Low Reasoning (2025-09-15),Anthropic: Claude Sonnet 4 - Single Context - Extended Thinking 4000t (2025-09-11),OpenAI: o3 w/ GPT-image-1 - Multiple Context - High Reasoning (2025-07-21),Alibaba: Qwen 3 235b a22b Thinking 2507 - Multiple Context (2025-11-20),OpenAI: o3 - Single Context - High Reasoning (2025-07-21),DeepMind: Gemini 3 Pro - High Reasoning - 0.55 Temperature - Multiple Context (2025-11-19),OpenAI: o3 w/ GPT-image-1 - Multiple Context - High Reasoning (2025-07-22),OpenAI: o3 w/ GPT-image-1 - Multiple Context - High Reasoning (2025-07-24),DeepSeek: R1 0528 - Multiple Context (2025-11-20),DeepMind: Gemini 2.5 Pro - Single Context - Dynamic Thinking (2025-07-21),Anthropic: Claude Opus 4.1 - Multiple Context - Extended Thinking 9000t (2025-09-11),OpenAI: o4-mini - Multiple Context - High Reasoning (2025-07-21),DeepMind: Gemini 2.0 Flash w/ Images - Multiple Context (2025-07-25),OpenAI: gpt-oss-120b - High Reasoning - Multiple Context (2025-11-20),OpenAI: o3 - Multiple Context - High Reasoning (2025-09-15)
0,5.0,4.583333333333334,5.0,5.0,5.0,5.0,5.0,4.5,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,3.625,5.0,1.8333333333333333,4.583333333333334,5.0,5.0,5.0,5.0,5.0,5.0,2.916666666666667,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,4.75,3.45,5.0
1,4.75,1.35,4.75,4.75,5.0,4.75,4.75,4.583333333333334,4.75,4.75,4.75,4.75,4.75,4.75,4.75,4.75,4.75,4.75,4.75,2.9,1.35,1.2,4.75,4.625,4.75,4.75,4.75,4.75,4.75,4.75,4.75,4.625,4.75,4.75,4.75,4.75,4.75,4.75,4.75,4.75,1.0833333333333335,1.0,4.75
2,1.75,1.25,3.916666666666667,1.0,1.9166666666666665,3.642857142857143,3.5,1.35,1.9166666666666665,1.0833333333333335,3.916666666666667,3.916666666666667,3.416666666666667,1.1666666666666665,3.5,1.85,1.3333333333333335,1.0833333333333335,3.5,1.25,1.4166666666666665,1.25,3.916666666666667,1.9166666666666665,3.916666666666667,1.0,1.9166666666666665,3.333333333333333,1.3333333333333335,1.0,3.5,2.45,1.55,1.9166666666666665,3.5,1.0833333333333335,1.3,1.0833333333333335,1.45,3.916666666666667,2.416666666666667,1.3333333333333335,3.5
3,3.1666666666666665,1.3333333333333335,3.2,1.0,1.7,3.25,2.4166666666666665,3.5,3.1666666666666665,3.1666666666666665,1.2,1.45,3.0,1.3333333333333335,3.1666666666666665,3.1666666666666665,1.0,3.0,1.1,1.1,3.1666666666666665,1.45,3.1666666666666665,1.7,3.1666666666666665,1.6666666666666665,1.75,1.45,1.0,3.75,3.1666666666666665,1.0,3.75,1.0,3.2,3.2,3.75,1.0,3.75,1.0,3.0,1.35,3.75
4,3.416666666666667,1.3333333333333335,3.4,1.25,1.75,3.6,3.6,3.416666666666667,3.416666666666667,1.0833333333333335,1.0833333333333335,3.4,3.833333333333333,1.25,3.6,3.6,1.25,3.6,3.6,3.6,1.75,1.0,3.6,1.125,3.6,1.75,1.8333333333333335,1.75,3.6,3.6,3.416666666666667,1.7,3.6,3.416666666666667,3.6,3.416666666666667,4.1,1.0833333333333335,1.25,1.6666666666666665,3.071428571428571,1.2,2.9
5,4.166666666666667,2.0,3.916666666666667,4.166666666666667,2.0,3.0,1.0,1.0,4.3,4.166666666666667,3.7,1.0,3.916666666666667,3.0,2.25,4.083333333333333,2.25,1.0,1.6666666666666665,4.083333333333333,4.083333333333333,2.875,1.4166666666666665,4.166666666666667,4.166666666666667,2.25,1.6,1.3333333333333335,2.5,1.0,1.0,2.05,2.0,4.166666666666667,3.0,3.0,1.0,4.083333333333333,4.083333333333333,2.0,1.5833333333333333,2.25,4.083333333333333
6,3.75,1.0,3.125,4.083333333333333,4.416666666666666,3.75,3.125,2.833333333333333,3.75,4.416666666666666,1.0,3.75,3.75,3.125,3.75,3.125,1.0,3.125,3.125,3.8,2.583333333333333,4.375,3.125,1.0,1.0833333333333335,3.125,3.125,1.5,3.125,4.416666666666666,3.75,3.166666666666667,4.083333333333333,3.75,3.125,3.75,1.6666666666666665,4.25,3.125,4.416666666666666,1.5833333333333333,4.5,4.416666666666666
7,4.166666666666667,1.25,4.166666666666667,4.166666666666667,1.75,4.166666666666667,4.166666666666667,4.166666666666667,2.625,1.35,1.5,4.166666666666667,4.166666666666667,4.166666666666667,4.166666666666667,4.166666666666667,4.166666666666667,4.166666666666667,4.166666666666667,1.5,4.166666666666667,4.166666666666667,4.166666666666667,4.166666666666667,4.166666666666667,4.166666666666667,1.25,2.875,4.166666666666667,1.35,4.166666666666667,1.1,4.166666666666667,4.166666666666667,4.166666666666667,4.166666666666667,1.0,4.166666666666667,1.0,1.5,1.0714285714285714,1.0,4.166666666666667
8,1.2,1.0,4.1,4.1,4.1,4.1,4.1,4.1,1.2,4.1,1.3,4.1,4.1,1.6,4.1,4.1,4.1,4.1,4.1,1.35,3.25,2.75,4.1,1.0,1.0,4.1,1.3333333333333335,4.1,4.1,1.25,4.1,1.2,4.1,4.1,4.1,4.1,2.4,4.1,1.0,1.0,1.0,4.1,4.1
9,4.833333333333334,2.3333333333333335,2.1,1.2,2.25,4.666666666666666,2.4,4.666666666666666,4.833333333333334,4.833333333333334,1.1,4.666666666666666,4.833333333333334,4.833333333333334,2.4,1.3,4.666666666666666,2.1,4.0,4.833333333333334,2.25,3.5,4.0,2.0,1.4166666666666665,4.666666666666666,4.833333333333334,1.2,4.25,4.833333333333334,1.0,2.0,4.666666666666666,4.833333333333334,2.4,4.833333333333334,4.25,4.666666666666666,2.1,2.1,1.0,3.3,4.666666666666666
